NCES School ID,Teachers w/Bachelor Degree (%),Teachers w/Masters or PhD (%),Teachers w/1-5 yrs of exp (%),Teachers w/5+ yrs of exp (%),Mean yrs of teaching exp,Mean base salary for teachers w/1-5 yrs exp,Mean base salary for teachers w/5+ yrs exp,Mean base salary,State
040187000615,32.5,67.5,35.0,65.0,9.0,39725.0,55574.0,50027.0,AZ
040187001058,61.1,38.9,52.8,47.2,7.0,38235.0,49724.0,43660.0,AZ
040187001155,44.4,55.6,48.9,51.1,8.0,40016.0,52250.0,46269.0,AZ
040187001206,42.9,57.1,32.1,67.9,12.0,38695.0,55507.0,50103.0,AZ
040187001289,50.0,50.0,53.6,46.4,7.0,40362.0,50426.0,45034.0,AZ
040187001359,35.5,64.5,29.0,71.0,8.0,38060.0,52298.0,48164.0,AZ
040187001399,44.4,55.6,40.7,59.3,9.0,37060.0,55514.0,47996.0,AZ
040187001400,47.3,52.7,40.0,60.0,10.0,40415.0,52356.0,47580.0,AZ
040187001532,40.0,60.0,35.6,64.4,9.0,40236.0,54382.0,49352.0,AZ
040187001533,32.8,67.2,43.1,56.9,8.0,40477.0,53653.0,47974.0,AZ
040187001675,30.0,70.0,25.0,75.0,12.0,41367.0,53872.0,50746.0,AZ
040187001676,35.9,64.1,30.8,69.2,10.0,38279.0,54259.0,49342.0,AZ
040187001677,19.1,80.9,29.1,70.9,10.0,42432.0,55265.0,51534.0,AZ
040187001678,56.3,43.8,43.8,56.3,8.0,36206.0,47834.0,42747.0,AZ
040187001996,34.7,65.3,28.6,71.4,9.0,40409.0,52598.0,49115.0,AZ
040187002125,45.8,54.2,35.4,64.6,8.0,38944.0,51502.0,47054.0,AZ
040187002250,44.5,55.5,70.9,29.1,4.0,40991.0,50843.0,43857.0,AZ
040187002251,46.0,54.0,66.0,34.0,5.0,41713.0,50551.0,44718.0,AZ
040187002346,51.6,48.4,45.2,54.8,8.0,39636.0,53628.0,47309.0,AZ
040187002379,65.7,34.3,71.4,28.6,5.0,38319.0,53355.0,42615.0,AZ
040187002380,48.7,51.3,53.8,46.2,7.0,40408.0,50637.0,45129.0,AZ
040187002478,33.3,66.7,87.5,12.5,4.0,43067.0,58160.0,44953.0,AZ
040187002479,42.9,57.1,95.2,,3.0,42337.0,,42858.0,AZ
040187002480,63.5,36.5,67.3,32.7,5.0,39341.0,51242.0,43232.0,AZ
040194000135,59.0,41.0,15.4,84.6,14.0,33048.0,43276.0,41703.0,AZ
040194000136,41.7,58.3,8.3,91.7,17.0,31650.0,45662.0,44494.0,AZ
040194000137,53.7,46.3,29.9,70.1,9.0,31737.0,42586.0,39347.0,AZ
040194000138,44.8,55.2,20.7,79.3,14.0,33428.0,44375.0,42110.0,AZ
040194000140,51.6,48.4,22.6,77.4,14.0,32886.0,45066.0,42316.0,AZ
040194000145,56.3,43.8,21.9,78.1,11.0,32012.0,42057.0,39860.0,AZ
040194001139,,0.0,0.0,,,,,,AZ
040194001488,38.9,61.1,,94.4,16.0,,45321.0,44926.0,AZ
040211000150,60.0,,60.0,,6.0,30398.0,,32605.0,AZ
040211000151,37.5,62.5,,75.0,10.0,,36865.0,35678.0,AZ
040213000152,50.0,50.0,50.0,50.0,10.0,39290.0,51599.0,45444.0,AZ
040219000154,91.7,,,83.3,12.0,,37667.0,36186.0,AZ
040222002220,80.0,,60.0,40.0,9.0,30890.0,52257.0,39437.0,AZ
040225000156,57.1,42.9,33.3,66.7,9.0,31489.0,38253.0,35998.0,AZ
040232000158,73.7,26.3,86.8,13.2,4.0,35496.0,42954.0,36478.0,AZ
040232000164,53.3,46.7,86.7,13.3,4.0,35130.0,36417.0,35301.0,AZ
040232001025,,,,0.0,,,,,AZ
040232001208,73.1,26.9,92.3,,4.0,35881.0,,36121.0,AZ
040232001534,64.7,35.3,94.1,,4.0,35222.0,,35429.0,AZ
040232003079,67.9,32.1,92.5,7.5,2.0,34509.0,37625.0,34744.0,AZ
040237000165,89.5,,36.8,63.2,8.0,29397.0,35456.0,33224.0,AZ
040237000166,58.3,41.7,33.3,66.7,13.0,30683.0,40521.0,37242.0,AZ
040237000167,76.9,23.1,51.3,48.7,8.0,31528.0,36038.0,33725.0,AZ
040237001360,54.8,45.2,54.8,45.2,9.0,31539.0,39026.0,34920.0,AZ
040237002384,60.0,40.0,35.0,65.0,12.0,30963.0,39213.0,36325.0,AZ
040240000014,73.5,26.5,42.9,57.1,8.0,33544.0,42302.0,38548.0,AZ
040240000017,52.8,47.2,55.6,44.4,9.0,34338.0,47042.0,39984.0,AZ
040240000036,68.6,31.4,51.4,48.6,10.0,35686.0,46488.0,40933.0,AZ
040240000037,82.9,17.1,53.7,46.3,8.0,33351.0,45361.0,38916.0,AZ
040240000171,67.6,32.4,43.2,56.8,14.0,34470.0,51714.0,44257.0,AZ
040240001087,63.0,37.0,29.6,70.4,13.0,34400.0,45402.0,42142.0,AZ
040240001976,65.6,34.4,53.1,46.9,8.0,34607.0,46211.0,40046.0,AZ
040240002424,73.5,26.5,58.8,41.2,8.0,34218.0,45226.0,38751.0,AZ
040240002425,73.2,26.8,48.8,51.2,7.0,33318.0,44488.0,39039.0,AZ
040243000174,57.4,42.6,33.3,66.7,9.0,36777.0,43963.0,41568.0,AZ
040243000176,53.1,46.9,20.4,79.6,11.0,36714.0,45533.0,43733.0,AZ
040243000177,80.3,19.7,65.6,34.4,6.0,33348.0,44366.0,37141.0,AZ
040243000178,63.8,36.2,53.2,46.8,9.0,34594.0,47496.0,40633.0,AZ
040243000179,65.5,34.5,46.6,53.4,10.0,34695.0,48700.0,42180.0,AZ
040243000180,55.6,44.4,37.8,62.2,12.0,35143.0,50173.0,44495.0,AZ
040243000181,64.1,35.9,38.5,61.5,9.0,35411.0,46416.0,42183.0,AZ
040243001704,54.0,46.0,38.0,62.0,8.0,36859.0,46298.0,42711.0,AZ
040243001998,,,0.0,100.0,13.0,,46316.0,46316.0,AZ
040243001999,65.3,34.7,67.3,32.7,5.0,35263.0,42222.0,37535.0,AZ
040248001210,50.0,50.0,50.0,50.0,7.0,36433.0,38000.0,37217.0,AZ
040248001536,,0.0,,,,,,,AZ
040249000183,,,0.0,100.0,21.0,,44382.0,44382.0,AZ
040253000184,,0.0,,0.0,,,,,AZ
040253000185,44.0,56.0,20.0,80.0,15.0,28025.0,41800.0,39045.0,AZ
