NCESSCH	PCT_BACH	PCT_ADVC	P_EXPLT6	P_EXPGT5	MEAN_EXP	M_BSALT6	M_BSAGT5	M_BSAL
120180002413	80.0	-1.0	-1.0	-1.0	7	-1	-1	36373
120180002639	74.2	19.4	13.8	86.2	17	35292	44555	41627
120180003805	91.7	-1.0	-1.0	-1.0	-1	-1	-1	33795
120180004143	54.2	41.7	-1.0	-1.0	-1	-1	-1	39353
120180004452	84.1	13.6	-1.0	-1.0	-1	-1	-1	34337
120180004453	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
120183001943	75.8	24.2	17.9	82.1	16	32526	45151	42151
120183001944	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
120183001945	83.7	16.3	40.8	59.2	14	32414	46322	40645
120183001946	73.8	26.2	17.9	82.1	16	34869	46041	43082
120183001947	80.6	19.4	14.3	85.7	17	32116	45035	42140
120183001948	87.5	12.5	31.0	69.0	13	35725	44647	41984
120183002794	62.5	37.5	-1.0	66.7	11	-1	43554	39812
120183002966	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
120183004454	74.2	22.6	23.3	76.7	14	33173	44195	41258
120186001949	72.5	15.0	46.9	53.1	11	32136	42894	35585
120186001951	46.2	12.8	-1.0	-1.0	-1	-1	-1	33066
120186001952	75.0	-1.0	30.0	70.0	13	37893	42058	40129
120186001953	100.0	0.0	-1.0	-1.0	7	-1	-1	31375
120186001954	0.0	0.0	-1.0	0.0	-1	-1	-2	-1
120186001955	50.0	42.1	36.7	63.3	11	33705	43342	37973
120186002002	54.8	23.8	23.3	76.7	15	33934	42430	39347
120186003274	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	21695
120189001956	64.1	33.3	48.5	51.5	9	31806	38116	34478
120189001957	73.0	27.0	50.0	50.0	8	29638	32824	31399
120189001958	72.9	27.1	29.8	70.2	10	29441	35567	33227
120189003807	-1.0	-1.0	0.0	-1.0	-1	-2	-1	-1
120192001196	0.0	0.0	51.9	48.1	9	32581	41985	36769
120192001208	0.0	0.0	37.3	62.7	9	32635	41106	37284
120192001959	0.0	0.0	25.0	75.0	15	33173	46244	41162
120192001960	0.0	0.0	-1.0	66.7	11	-1	41093	37171
120192001962	0.0	0.0	-1.0	96.2	19	-1	46911	44748
120192001963	0.0	0.0	42.0	58.0	9	32863	41022	36785
120192001964	0.0	0.0	20.0	80.0	13	32520	41713	39497
120192001966	0.0	0.0	-1.0	95.0	17	-1	44222	43145
120192001967	0.0	0.0	26.3	73.7	18	32021	49612	44983
120192001969	0.0	0.0	26.5	73.5	13	33509	44127	40444
120192001970	0.0	0.0	15.7	84.3	17	33817	47134	43839
120192001971	0.0	0.0	22.6	77.4	17	32463	47843	42920
120192001972	0.0	0.0	32.8	67.2	12	32920	44105	39505
120192001973	0.0	0.0	24.3	75.7	16	32616	46562	41234
120192001979	0.0	0.0	39.3	60.7	12	32881	44794	38974
120192001983	0.0	0.0	24.0	76.0	16	32484	45449	41497
120192001984	0.0	0.0	59.4	40.6	9	32727	44688	37022
120192001986	0.0	0.0	29.5	70.5	14	32979	46273	41829
120192001987	0.0	0.0	29.1	70.9	14	32305	45125	40529
120192001988	0.0	0.0	20.0	80.0	14	32945	43532	41415
120192001990	0.0	0.0	27.8	72.2	14	33038	45783	40347
120192001991	0.0	0.0	38.5	61.5	12	32790	43455	39353
120192001992	0.0	0.0	34.0	66.0	13	33120	44806	39883
120192001993	0.0	0.0	20.4	79.6	14	32270	43922	41172
120192001994	0.0	0.0	-1.0	88.9	17	-1	45485	42680
120192001995	0.0	0.0	21.5	78.5	16	32708	46530	42494
120192001996	0.0	0.0	20.0	80.0	17	32408	45404	42351
120192001998	0.0	0.0	39.4	60.6	11	32665	42718	38111
120192001999	0.0	0.0	13.3	86.7	17	32743	46274	44469
120192002000	0.0	0.0	22.6	77.4	17	32130	49137	44115
120192002003	0.0	0.0	35.3	64.7	12	32486	41764	38073
120192002004	0.0	0.0	41.9	58.1	11	33076	43495	38289
120192002005	0.0	0.0	25.8	74.2	15	33018	45747	41931
120192002006	0.0	0.0	-1.0	88.9	24	-1	50774	48841
120192002007	0.0	0.0	26.9	73.1	10	32473	40555	37491
120192002008	0.0	0.0	15.1	84.9	16	32513	45080	43155
120192002009	0.0	0.0	17.1	82.9	14	32127	43188	40884
120192002010	0.0	0.0	44.4	55.6	9	33169	40678	36610
120192002011	0.0	0.0	20.9	79.1	14	32776	43603	41094
120192002013	0.0	0.0	0.0	100.0	23	-2	62881	62881
120192002105	0.0	0.0	19.6	80.4	16	32740	46047	43020
120192002267	0.0	0.0	22.2	77.8	14	32885	43597	40068
120192002268	0.0	0.0	17.9	82.1	18	31853	47537	42634
120192002269	0.0	0.0	21.7	78.3	16	32907	46082	42765
120192002270	0.0	0.0	33.3	66.7	16	33632	49573	43206
120192002271	0.0	0.0	22.0	78.0	15	32395	46185	42579
120192002415	0.0	0.0	30.0	70.0	14	33158	45387	40527
120192002416	0.0	0.0	28.1	71.9	13	32921	43072	38811
120192002417	0.0	0.0	15.3	84.7	15	33793	44624	42393
120192002418	0.0	0.0	29.2	70.8	14	33195	44929	40733
120192002419	0.0	0.0	12.2	87.8	16	33200	44897	42869
120192002420	0.0	0.0	0.0	-1.0	-1	-2	-1	-1
120192002482	0.0	0.0	-1.0	83.3	12	-1	40997	38410
120192002538	0.0	0.0	25.9	74.1	12	33389	41232	38906
120192002640	0.0	0.0	60.0	40.0	9	32185	45104	36628
120192002641	0.0	0.0	30.1	69.9	12	32994	43414	39310
120192002643	0.0	0.0	-1.0	-1.0	-1	-1	-1	44311
120192002709	0.0	0.0	22.0	78.0	15	33323	45119	42142
120192002717	0.0	0.0	0.0	-1.0	-1	-2	-1	-1
120192002795	0.0	0.0	28.9	71.1	13	32270	43995	39898
120192002796	0.0	0.0	53.3	46.7	9	32707	43503	36727
120192002797	0.0	0.0	41.0	59.0	10	33018	42283	37334
120192002968	0.0	0.0	32.2	67.8	13	33442	44607	40384
120192002969	0.0	0.0	16.7	83.3	14	33084	43077	40880
120192002970	0.0	0.0	32.8	67.2	11	33428	43102	38798
120192002971	0.0	0.0	18.8	81.3	17	33876	47917	45284
120192002972	0.0	0.0	0.0	100.0	20	-2	46661	46661
120192003128	0.0	0.0	30.0	70.0	12	32807	41901	38107
120192003129	0.0	0.0	39.5	60.5	10	32923	42116	37845
120192003130	0.0	0.0	36.8	63.2	10	32803	41672	37340
120192003136	0.0	0.0	0.0	100.0	22	-2	50047	50047
120192003275	0.0	0.0	42.1	57.9	10	33614	42096	37808
120192003515	85.7	-1.0	-1.0	-1.0	-1	-1	-1	33884
120192003517	0.0	0.0	0.0	-1.0	-1	-2	-1	-1
120192003520	0.0	0.0	0.0	-1.0	-1	-2	-1	-1
120192003670	0.0	0.0	45.5	54.5	9	33384	42365	36636
120192003671	0.0	0.0	0.0	-1.0	-1	-2	-1	-1
120192003672	0.0	0.0	0.0	100.0	14	-2	54045	54045
120192003808	0.0	0.0	15.6	84.4	17	33082	46322	43852
120192003939	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
120192003990	0.0	0.0	40.9	59.1	9	32210	39591	36108
120192004455	0.0	0.0	23.8	76.2	12	33032	42037	39361
120192004456	0.0	0.0	-1.0	-1.0	16	-1	-1	44202
120192005747	0.0	0.0	28.9	71.1	14	33071	46914	41778
120192005748	0.0	0.0	27.3	72.7	13	31925	44221	40045
120195002015	60.0	37.8	34.1	65.9	14	31360	42178	37608
120195002017	68.1	30.4	35.0	65.0	11	32161	40303	37009
120195002272	72.7	27.3	-1.0	88.9	13	-1	37910	37778
120195002273	54.1	43.2	25.7	74.3	15	31099	43646	39831
120195002657	66.7	33.3	30.0	70.0	16	30378	43528	39054
120195003137	70.7	29.3	20.0	80.0	17	31150	42908	40299
120195003673	100.0	0.0	-1.0	-1.0	14	-1	-1	35118
120195003810	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
120195004457	65.6	31.3	30.0	70.0	11	32877	39145	36778
120198002018	70.5	27.3	21.6	78.4	14	33349	42845	40110
120198002020	72.2	27.8	16.7	83.3	16	31449	44976	42721
120198002022	56.3	43.8	42.9	57.1	12	37760	45743	40669
120198002023	62.8	34.9	48.4	51.6	7	39248	45097	39912
120198002024	61.4	36.4	35.3	64.7	11	34228	45775	39554
120198002025	66.7	33.3	19.0	81.0	14	41139	44011	42889
120198002026	77.3	20.5	10.3	89.7	16	29497	44571	42126
120198002541	73.7	26.3	20.6	79.4	14	34635	43353	41687
120198002644	83.3	-1.0	40.0	60.0	7	33877	41854	38318
120198003138	37.5	37.5	-1.0	75.0	9	-1	37415	35554
120198003524	73.3	26.7	-1.0	-1.0	-1	-1	-1	38191
120198003941	44.4	55.6	55.0	45.0	11	38383	49054	40979
120198004144	100.0	0.0	62.5	37.5	5	37065	36059	36688
120198004175	76.5	23.5	-1.0	-1.0	-1	-1	-1	34114
120198004458	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	32661
120201002027	54.8	45.2	27.6	72.4	16	38827	45912	42965
120201002028	75.0	25.0	26.4	73.6	14	33653	43655	40230
120201002029	68.0	32.0	21.7	78.3	16	33252	43375	40591
120201002031	61.5	38.5	12.5	87.5	18	29714	44593	42463
120201002033	71.1	28.9	31.3	68.8	13	33577	43722	38880
120201002587	63.2	36.8	44.4	55.6	11	31917	43807	38262
120201003139	-1.0	-1.0	0.0	100.0	13	-2	53999	53999
120201101331	66.7	-1.0	-1.0	-1.0	-1	-1	-1	45327
120201102908	66.7	33.3	-1.0	88.9	13	-1	52087	50531
120201103529	-1.0	-1.0	100.0	0.0	3	50369	-2	50369
120201203140	59.4	40.6	-1.0	-1.0	-1	-1	-1	41708
120201303021	65.9	34.1	-1.0	-1.0	-1	-1	-1	34999
120201304147	70.8	29.2	-1.0	-1.0	-1	-1	-1	35419
120201402974	66.7	33.3	-1.0	-1.0	-1	-1	-1	31171
120201502912	15.2	84.8	-1.0	-1.0	-1	-1	-1	41399
120201601212	75.0	25.0	-1.0	-1.0	-1	-1	-1	39638
120201601246	70.0	30.0	-1.0	-1.0	-1	-1	-1	43042
120201601247	35.7	64.3	-1.0	-1.0	-1	-1	-1	41851
120201601248	75.0	-1.0	-1.0	-1.0	-1	-1	-1	38401
120201601257	60.0	40.0	-1.0	-1.0	-1	-1	-1	41863
120201601265	60.0	40.0	-1.0	-1.0	-1	-1	-1	41796
120201601293	50.0	50.0	-1.0	-1.0	-1	-1	-1	39979
120201601302	42.9	57.1	-1.0	-1.0	-1	-1	-1	43239
120201601323	70.0	30.0	-1.0	-1.0	-1	-1	-1	40488
190000601231	85.7	-1.0	0.0	100.0	20	-2	40880	40880
190000601232	72.2	27.8	-1.0	94.4	21	-1	45867	44876
190000601233	100.0	0.0	-1.0	88.9	16	-1	43040	41473
190000601234	76.9	23.1	0.0	100.0	22	-2	45086	45086
190000601973	80.0	-1.0	0.0	100.0	28	-2	44983	44983
190000900385	92.0	-1.0	28.0	72.0	13	26048	39310	35596
190000900386	81.0	19.0	33.3	66.7	13	27725	39452	35543
190000901976	100.0	0.0	57.1	42.9	8	25469	38291	30964
190001500530	75.0	-1.0	0.0	100.0	25	-2	45715	45715
190001501485	90.9	-1.0	27.3	72.7	16	28043	42021	38209
190001501486	66.7	33.3	26.7	73.3	14	25222	40785	36634
190001501487	72.7	27.3	-1.0	81.8	17	-1	44725	41722
190002102002	82.4	17.6	23.5	76.5	17	28372	44412	40638
190002102003	83.3	-1.0	-1.0	83.3	17	-1	43885	41474
190002102004	82.6	17.4	21.7	78.3	13	30625	41657	39258
190002200632	69.2	30.8	23.1	76.9	14	28748	38307	36101
190002200956	100.0	0.0	22.7	77.3	14	27645	38951	36382
190002200957	76.5	23.5	17.6	82.4	15	28120	39005	37084
190002202013	90.0	-1.0	-1.0	90.0	21	-1	41266	39996
190002300835	100.0	0.0	-1.0	75.0	12	-1	34036	32218
190002300841	100.0	0.0	75.0	-1.0	8	26560	-1	29106
190002301541	100.0	0.0	-1.0	85.7	17	-1	34860	33791
190002301896	100.0	0.0	-1.0	80.0	15	-1	34900	33343
190002400098	100.0	0.0	-1.0	87.5	22	-1	36987	35711
190002400960	81.8	-1.0	0.0	100.0	19	-2	36284	36284
190002400961	77.8	-1.0	16.7	83.3	18	26484	36458	34796
190002500606	96.0	-1.0	16.0	84.0	18	26314	33578	32416
190002501334	83.3	-1.0	-1.0	91.7	16	-1	34538	34045
190002501335	80.0	-1.0	-1.0	80.0	16	-1	34458	32646
190002600618	84.2	15.8	0.0	100.0	23	-2	42587	42587
190002601341	72.2	27.8	-1.0	94.4	19	-1	42240	41363
190002700249	100.0	0.0	-1.0	87.5	20	-1	39137	37600
190002700260	71.4	28.6	-1.0	85.7	23	-1	43558	41333
190002700279	83.3	16.7	-1.0	94.4	21	-1	40461	39747
190002800271	100.0	0.0	0.0	100.0	21	-2	40586	40586
190002801381	88.9	-1.0	16.7	83.3	20	36532	40521	39856
190002801382	81.8	-1.0	36.4	63.6	11	29899	41049	36994
190003101300	100.0	0.0	-1.0	81.8	15	-1	35810	34263
190003201317	100.0	0.0	33.3	66.7	15	27660	36370	33467
190004000117	76.9	23.1	38.5	61.5	17	29446	40462	36225
190004000121	100.0	0.0	-1.0	80.0	12	-1	36021	34463
190004000126	87.5	-1.0	-1.0	87.5	16	-1	39107	37458
190004000132	100.0	0.0	-1.0	83.3	14	-1	38336	36324
190006000179	100.0	0.0	0.0	100.0	19	-2	35824	35824
190006000182	100.0	0.0	16.7	83.3	18	25929	37486	35559
190303000001	85.7	-1.0	57.1	42.9	9	25019	27533	26096
190303000002	100.0	0.0	0.0	100.0	26	-2	28317	28317
190306000003	93.3	-1.0	-1.0	93.3	16	-1	40533	39928
190306000004	60.0	40.0	30.0	70.0	16	29778	40988	37625
190306000634	77.8	-1.0	-1.0	77.8	16	-1	40288	37865
190306000639	85.7	-1.0	0.0	100.0	27	-2	41510	41510
190306001383	-1.0	0.0	-1.0	-1.0	-1	-1	-1	-1
190309000006	100.0	0.0	-1.0	92.3	19	-1	34043	33487
190309000007	87.5	-1.0	-1.0	75.0	15	-1	33594	31526
190315000008	87.0	13.0	34.8	65.2	13	32565	40218	37556
190315000009	76.9	23.1	-1.0	84.6	20	-1	43060	40966
190315000010	77.8	22.2	27.8	72.2	15	31927	41651	38950
190315000202	88.9	-1.0	33.3	66.7	11	32416	39201	36939
190315000916	-1.0	0.0	-1.0	0.0	-1	-1	-2	-1
190315001986	88.2	-1.0	17.6	82.4	19	32703	43345	41467
190322001937	94.7	-1.0	-1.0	89.5	15	-1	35750	34841
190322001938	75.0	-1.0	0.0	100.0	20	-2	36481	36481
190322001939	85.7	-1.0	28.6	71.4	19	28783	37880	35281
190327000017	85.0	15.0	25.0	75.0	16	28275	40575	37500
190327000018	78.9	21.1	-1.0	94.7	23	-1	42875	42241
190327000019	72.7	27.3	-1.0	90.9	22	-1	44311	42988
190327000021	100.0	0.0	-1.0	80.0	16	-1	40880	38241
190327001098	-1.0	0.0	-1.0	-1.0	-1	-1	-1	-1
190327001406	75.0	25.0	-1.0	83.3	18	-1	41645	39154
190330000024	75.0	25.0	-1.0	93.8	19	-1	40296	39528
190330000025	70.6	29.4	-1.0	94.1	19	-1	40751	40272
190336000030	52.9	47.1	-1.0	88.2	20	-1	49905	47401
190336000031	21.4	78.6	0.0	100.0	23	-2	48741	48741
190336000032	76.9	23.1	-1.0	84.6	18	-1	44352	41932
190336000033	75.0	25.0	-1.0	87.5	18	-1	44974	42938
190336000034	30.8	69.2	0.0	100.0	24	-2	47515	47515
190339000036	75.0	25.0	-1.0	93.8	23	-1	45999	44789
190339000037	75.0	-1.0	-1.0	87.5	16	-1	41742	40533
190339000038	76.9	23.1	-1.0	92.3	17	-1	40968	39788
190339000039	66.7	33.3	-1.0	86.7	20	-1	42205	39861
190339000040	70.0	30.0	25.0	75.0	16	26116	42602	38481
190339000823	-1.0	0.0	-1.0	0.0	-1	-1	-2	-1
190345000042	100.0	0.0	0.0	100.0	17	-2	35911	35911
190345000043	100.0	0.0	-1.0	80.0	11	-1	34563	33482
190348000011	83.3	0.0	50.0	50.0	14	28660	38497	33579
190348000045	73.3	26.7	-1.0	93.3	19	-1	39922	39079
190348000046	100.0	0.0	-1.0	85.7	14	-1	36010	35059
190354000049	66.7	33.3	-1.0	95.8	20	-1	47748	47173
190354000050	50.0	50.0	9.7	90.3	17	31242	46237	44786
190354000052	57.1	42.9	14.3	85.7	20	31218	49810	47154
190354000053	63.2	36.8	10.5	89.5	19	31071	45168	43684
190354000054	56.3	43.8	-1.0	93.8	17	-1	46670	45579
190354000056	57.1	42.9	-1.0	92.9	19	-1	46056	44659
190354000060	67.9	32.1	17.9	82.1	14	31240	44994	42538
190354001906	80.0	-1.0	30.0	70.0	11	28418	44152	39432
190357000061	83.3	16.7	37.5	62.5	16	33819	45265	40973
190357000062	81.3	18.8	-1.0	93.8	19	-1	45181	44268
190357000064	73.0	27.0	21.6	78.4	17	31247	44432	41581
190363000067	87.5	-1.0	-1.0	87.5	21	-1	38533	36990
190363000068	90.9	-1.0	-1.0	90.9	25	-1	37375	36482
190366000069	75.0	-1.0	0.0	100.0	26	-2	34588	34588
190366000070	90.9	-1.0	-1.0	81.8	17	-1	31779	31007
190369000071	55.9	44.1	16.9	83.1	16	37279	48858	46895
190369000072	73.7	26.3	21.1	78.9	16	36058	46121	44003
190369000073	67.9	32.1	26.4	73.6	16	36274	48504	45273
190369000074	77.3	22.7	36.4	63.6	9	37342	41196	39795
190369000077	70.4	29.6	14.8	85.2	14	36239	43935	42795
190369000078	84.0	16.0	40.0	60.0	11	35780	44840	41216
190369000148	77.4	22.6	25.8	74.2	13	35529	45922	43240
190369000380	81.6	18.4	20.4	79.6	15	37109	46253	44387
190369000778	79.2	20.8	-1.0	91.7	14	-1	46989	46053
190369002026	80.0	20.0	11.4	88.6	15	37176	44558	43715
190372000079	80.0	-1.0	30.0	70.0	14	28839	34882	33069
190372000080	87.5	-1.0	0.0	100.0	17	-2	33354	33354
190375000081	87.5	-1.0	0.0	100.0	18	-2	40964	40964
190375000082	63.6	36.4	-1.0	90.9	21	-1	43547	42411
190375001336	72.7	27.3	0.0	100.0	22	-2	44309	44309
190375001337	87.5	-1.0	-1.0	75.0	17	-1	41493	38070
190378000083	75.0	-1.0	0.0	100.0	26	-2	43851	43851
190378000084	80.0	-1.0	0.0	100.0	24	-2	42436	42436
190378000085	100.0	0.0	-1.0	90.9	15	-1	36706	36048
190385001899	81.8	-1.0	-1.0	81.8	21	-1	38058	36705
190385001901	76.9	23.1	-1.0	92.3	21	-1	38242	37410
190393000090	52.6	47.4	-1.0	94.7	21	-1	42886	42009
190393000093	72.2	27.8	-1.0	88.9	22	-1	44299	42518
190393000094	65.7	34.3	-1.0	94.3	20	-1	43615	42727
190393000412	71.4	28.6	-1.0	92.9	22	-1	44014	42814
190393000884	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
190396000095	93.8	-1.0	-1.0	93.8	20	-1	39665	38917
190396000096	85.7	-1.0	-1.0	85.7	20	-1	41168	38933
190396000097	85.7	-1.0	-1.0	71.4	13	-1	37686	35840
190402000013	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
190402000099	85.7	-1.0	0.0	100.0	25	-2	39360	39360
190402000100	83.3	-1.0	0.0	100.0	21	-2	40140	40140
190408000101	75.0	25.0	18.8	81.3	22	29161	40678	38519
190408000102	94.1	-1.0	-1.0	94.1	21	-1	38998	38605
190420000105	85.7	-1.0	21.4	78.6	19	29370	45098	41728
190420000106	85.7	-1.0	42.9	57.1	16	29291	48655	40356
190420000108	73.1	26.9	23.1	76.9	16	29865	44560	41169
190420000109	87.5	-1.0	37.5	62.5	14	28146	45078	38728
190432000111	100.0	0.0	0.0	100.0	26	-2	39385	39385
190432000336	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
190432000862	89.5	-1.0	0.0	100.0	21	-2	38825	38825
190432000864	90.9	-1.0	27.3	72.7	14	26287	37488	34433
190438000113	100.0	0.0	38.5	61.5	14	27725	38585	34408
190438000114	81.8	-1.0	63.6	36.4	13	28691	41259	33261
190444000087	100.0	0.0	-1.0	85.7	17	-1	41184	39765
190444000118	100.0	0.0	36.4	63.6	11	28750	37983	34625
190444000119	93.8	-1.0	-1.0	93.8	17	-1	40484	39657
190456000120	86.4	13.6	27.3	72.7	18	27972	36458	34143
190456000122	61.1	38.9	-1.0	88.9	18	-1	38327	36982
190456001222	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
190462000124	90.9	-1.0	27.3	72.7	20	27038	40400	36756
190462000125	92.3	-1.0	23.1	76.9	16	30643	36949	35494
190462000127	100.0	0.0	-1.0	85.7	16	-1	34911	33783
190462001940	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
190465000128	100.0	0.0	20.0	80.0	20	28838	41169	38703
190465000129	81.5	18.5	18.5	81.5	20	30063	40810	38819
190468000130	79.2	20.8	25.0	75.0	17	27837	41102	37786
190468000131	88.9	-1.0	-1.0	88.9	19	-1	41548	39796
190468000133	100.0	0.0	-1.0	83.3	15	-1	36696	35042
190468001436	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
190474000134	100.0	0.0	-1.0	80.0	12	-1	34822	32845
190483000136	53.8	46.2	23.1	76.9	15	31632	41922	39547
190483000137	47.1	52.9	35.3	64.7	16	29233	43949	38755
190483000139	45.5	54.5	0.0	100.0	20	-2	43956	43956
190483001277	50.0	50.0	22.7	77.3	15	30073	41220	38687
190483001987	50.0	50.0	0.0	100.0	28	-2	46793	46793
190483001988	57.1	42.9	-1.0	85.7	10	-1	38387	37049
190486000142	33.9	66.1	15.3	84.7	18	30695	50430	47419
190486000143	50.0	50.0	24.0	76.0	17	29847	51004	45926
190486000144	45.0	55.0	15.0	85.0	18	31113	48690	46054
190486000145	64.7	35.3	-1.0	88.2	18	-1	46487	44625
190486000146	43.5	56.5	30.4	69.6	15	29358	50047	43750
190486000147	70.0	30.0	40.0	60.0	11	33960	44694	40400
190486000149	41.2	58.8	-1.0	88.2	17	-1	49479	47266
190486000150	33.3	66.7	40.0	60.0	14	30889	52852	44067
190486001191	-1.0	0.0	-1.0	-1.0	-1	-1	-1	-1
190495000151	77.8	-1.0	-1.0	77.8	11	-1	36258	34090
190495000667	100.0	0.0	31.8	68.2	12	26073	37320	33741
190495000668	73.7	26.3	36.8	63.2	12	27426	40290	35550
190495001247	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
190495002073	85.7	-1.0	-1.0	85.7	15	-1	37056	35405
190507000153	88.6	11.4	25.7	74.3	13	29819	39639	37114
190507000154	81.0	19.0	28.6	71.4	12	30526	40309	37514
190513000156	48.5	51.5	15.2	84.8	19	32312	46749	44562
190513000157	57.9	42.1	31.6	68.4	16	30878	46698	41702
190513000158	71.4	-1.0	-1.0	85.7	16	-1	42078	40136
190513000159	50.0	50.0	20.8	79.2	17	30148	45758	42506
190513000161	83.3	-1.0	-1.0	83.3	15	-1	41523	39350
190513000162	62.5	37.5	-1.0	75.0	11	-1	43081	39432
190513000163	76.9	23.1	-1.0	84.6	17	-1	43380	41254
190513002056	-1.0	-1.0	-1.0	-1.0	15	-1	-1	38867
190519000166	80.0	20.0	-1.0	95.0	18	-1	41854	41571
190519000167	71.4	28.6	-1.0	92.9	20	-1	44643	43794
190543000171	100.0	0.0	-1.0	93.3	16	-1	37816	37140
190543000172	77.8	-1.0	-1.0	77.8	18	-1	37772	35527
190543000928	100.0	0.0	0.0	100.0	20	-2	37300	37300
190549000173	90.9	-1.0	-1.0	90.9	19	-1	34941	34419
190549000174	80.0	-1.0	-1.0	80.0	19	-1	35115	33404
190575000176	90.0	-1.0	0.0	100.0	26	-2	40069	40069
190575000177	80.0	-1.0	-1.0	80.0	19	-1	39315	37833
190575001620	100.0	0.0	0.0	100.0	23	-2	39472	39472
190579000180	72.7	27.3	0.0	100.0	23	-2	44334	44334
190579000181	76.6	23.4	32.8	67.2	15	28354	43509	38536
190579000183	62.1	37.9	10.3	89.7	22	30728	44595	43161
190579000186	55.6	44.4	22.2	77.8	18	28542	46122	42215
190579000187	65.2	34.8	30.4	69.6	16	30745	44707	40457
190579000190	70.0	30.0	-1.0	90.0	16	-1	42369	40908
190579000191	72.2	27.8	22.2	77.8	16	27237	44062	40323
190579000194	68.8	31.3	9.4	90.6	23	29902	44997	43582
190594000199	100.0	0.0	-1.0	83.3	19	-1	34199	32963
190594000200	83.3	-1.0	-1.0	66.7	14	-1	34051	31247
190597000201	88.9	-1.0	-1.0	77.8	12	-1	34900	33728
190597000203	100.0	0.0	-1.0	77.8	14	-1	35324	34018
190600000204	80.0	20.0	20.0	80.0	14	27685	38279	36160
190600002042	62.5	37.5	25.0	75.0	12	26164	38428	35362
190606000206	75.0	25.0	-1.0	93.8	20	-1	40471	39620
190606000207	92.9	-1.0	21.4	78.6	17	26956	40362	37489
190606000209	88.0	12.0	16.0	84.0	19	26571	41149	38817
190624000211	90.9	-1.0	31.8	68.2	16	26086	35640	32600
190624001975	90.5	-1.0	33.3	66.7	12	25722	34943	31869
190627000214	85.0	15.0	42.5	57.5	12	30350	43297	37795
190627000215	73.9	26.1	34.8	65.2	15	31795	43642	39521
190627000216	81.8	-1.0	0.0	100.0	20	-2	42042	42042
190633000217	91.4	8.6	-1.0	94.3	22	-1	44322	43507
190633000218	79.2	20.8	-1.0	91.7	19	-1	42883	41791
190633000522	100.0	0.0	-1.0	92.3	20	-1	41534	40505
190633001989	78.9	21.1	-1.0	94.7	21	-1	43028	42217
190633002043	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
190651000221	38.9	61.1	7.4	92.6	19	29647	45426	44257
190651000222	36.7	63.3	-1.0	93.3	20	-1	45511	44443
190651000223	69.2	30.8	-1.0	92.3	19	-1	43599	42557
190651000224	46.7	53.3	10.0	90.0	16	28066	43738	42171
190651000226	50.0	50.0	0.0	100.0	18	-2	43800	43800
190651000227	63.6	36.4	-1.0	90.9	16	-1	43425	42297
190651000228	54.2	45.8	16.7	83.3	14	29143	42213	40035
190651000229	30.8	69.2	11.5	88.5	21	29874	47804	45735
190651000230	65.4	34.6	23.1	76.9	17	30360	45973	42370
190654000213	52.9	47.1	29.4	70.6	16	34090	52858	47338
190654000233	73.7	26.3	31.6	68.4	11	35545	43804	41196
190654000234	75.0	25.0	12.5	87.5	17	33704	50438	48346
190654000235	70.8	29.2	20.8	79.2	15	33599	46211	43584
190654000237	85.7	14.3	33.3	66.7	13	35313	46166	42549
190654000239	62.2	37.8	16.2	83.8	16	34923	46851	44917
190654000240	78.9	21.1	15.8	84.2	16	33918	45124	43355
190654000241	55.7	44.3	23.0	77.0	16	34650	49577	46151
190654000243	80.0	20.0	45.0	55.0	11	33655	45236	40025
190654000244	56.5	41.3	15.2	84.8	18	34037	50553	48040
190654000245	84.0	16.0	28.0	72.0	13	32409	45519	41848
190654000247	80.8	19.2	26.9	73.1	12	33716	44435	41549
190654000248	73.3	26.7	20.0	80.0	14	33248	43693	41604
190654000250	57.6	42.4	27.3	72.7	14	33988	47498	43813
190654000251	87.5	-1.0	12.5	87.5	13	33376	42770	41596
190654000252	77.8	22.2	-1.0	88.9	19	-1	47079	45572
190654000253	82.4	17.6	41.2	58.8	8	35643	40334	38402
190654000254	59.0	41.0	33.3	66.7	13	34068	48260	43529
190654000255	56.3	43.8	18.8	81.3	15	33188	46334	43869
190654000256	69.6	30.4	21.7	78.3	12	33587	44345	42006
190654000257	91.7	-1.0	25.0	75.0	12	33360	45759	42659
190654000258	61.5	38.5	28.2	71.8	13	34238	47143	43503
190654000259	70.4	29.6	25.9	74.1	17	33637	50178	45889
190654000261	74.4	25.6	15.4	84.6	17	35507	48587	46575
