NCESSCH	PCT_BACH	PCT_ADVC	P_EXPLT6	P_EXPGT5	MEAN_EXP	M_BSALT6	M_BSAGT5	M_BSAL
293180002223	68.4	31.6	21.1	78.9	15	33170	39215	37943
293180002224	64.7	35.3	17.6	82.4	17	34696	42862	41421
293183002226	61.3	38.7	35.5	64.5	11	26342	33358	30868
293183002229	77.8	22.2	22.2	77.8	14	25899	33026	31442
293186002230	52.2	47.8	30.4	69.6	16	30671	39611	36890
293186002232	28.6	71.4	28.6	71.4	12	30413	37508	35481
293186002514	44.4	55.6	44.4	55.6	13	28200	43381	36634
293189002233	83.3	-1.0	41.7	58.3	6	27310	29993	28875
293192002234	66.7	33.3	-1.0	77.8	13	-1	28714	27622
293192002235	54.5	45.5	36.4	63.6	11	26250	33286	30727
293195002236	82.4	17.6	64.7	35.3	8	24528	30210	26533
293195002237	75.0	25.0	41.7	58.3	10	27386	29740	28759
293201001700	61.8	38.2	50.0	50.0	9	30008	35073	32541
293201002241	43.3	56.7	-1.0	93.3	15	-1	36973	36467
293201002242	49.0	51.0	27.5	72.5	12	30206	36682	34904
293201002243	62.5	37.5	28.6	71.4	12	32076	36438	35192
293201002244	64.5	35.5	51.6	48.4	8	29981	35553	32677
293201002773	66.7	33.3	33.3	66.7	11	29017	36682	34127
293207002245	57.9	42.1	21.1	78.9	12	26948	35456	33665
293207002246	60.0	40.0	15.0	85.0	16	28413	35358	34316
293207002249	61.9	38.1	19.0	81.0	15	26779	34901	33354
293210002250	69.7	30.3	27.3	72.7	11	31056	41725	38815
293210002251	66.7	33.3	40.0	60.0	13	30567	47967	41007
293210002253	72.0	28.0	48.0	52.0	9	31679	43290	37717
293210002653	54.0	46.0	30.0	70.0	12	31660	43866	40204
293211002254	74.2	25.8	25.8	74.2	13	25438	31354	29827
293211002255	76.0	24.0	32.0	68.0	11	25718	31588	29710
293219002256	57.7	42.3	50.0	50.0	9	29101	35583	32342
293219002257	48.0	52.0	48.0	52.0	10	29899	37494	33848
293219002545	89.5	-1.0	42.1	57.9	10	30643	34275	32746
293219002814	33.3	66.7	52.4	47.6	8	30556	38530	34353
293222002259	48.1	51.9	25.9	74.1	11	27857	31236	30360
293222002260	33.3	66.7	-1.0	77.8	11	-1	32641	31778
293225002261	100.0	0.0	-1.0	77.8	10	-1	25837	25190
293225002262	60.0	-1.0	-1.0	80.0	12	-1	27828	26762
293230002263	73.3	26.7	-1.0	86.7	14	-1	30679	29811
293230002264	40.0	60.0	-1.0	80.0	17	-1	36410	34558
293231002265	81.6	18.4	28.9	71.1	12	29497	36131	34211
293231002266	67.9	32.1	46.4	53.6	10	30128	36767	33685
293231002576	74.2	25.8	51.6	48.4	8	29786	34839	32231
293244002267	100.0	0.0	66.7	-1.0	4	21375	-1	22083
